line,station,N,x,y,z
Metropolitan,Rayners Lane,0.06,-0.371003745,51.57497271,-6.2
Metropolitan,Croxley,0.06,-0.441718091,51.64704205,-6.6
Central,Fairlop,0.05,0.090934598,51.59568097,5.2
Circle,Ladbroke Grove,0.05,-0.210862146,51.5171845,5.4
Circle,Hammersmith,0.05,-0.22239962,51.4925678,-4.6
Circle,Westbourne Park,0.05,-0.200885304,51.52091663,-5.5
Circle,Notting Hill Gate,0.05,-0.196539233,51.5090608,-8.6
District,Upminster Bridge,0.05,0.235775393,51.55874787,4.3
District,Barons Court,0.05,-0.213605664,51.49015908,-2.7
District,Upton Park,0.05,0.035272621,51.53523072,-5.7
District,Plaistow,0.05,0.017806319,51.53121599,-6.6
Docklands Light Railway,Elverson Road,0.05,-0.017473463,51.46882393,
Docklands Light Railway,Limehouse,0.05,-0.039717959,51.51249761,
Docklands Light Railway,East India,0.05,-0.002743766,51.50904109,
Docklands Light Railway,West Silvertown,0.05,0.022500013,51.502778,
Docklands Light Railway,Canary Wharf,0.05,-0.019424771,51.5035507,
Jubilee,Dollis Hill,0.05,-0.238795634,51.55190413,2.4
Jubilee,Wembley Park,0.05,-0.279244881,51.5632591,-4.3
Metropolitan,Amersham,0.05,-0.607482073,51.67414881,4.3
Metropolitan,Rickmansworth,0.05,-0.47371523,51.6402687,-0.4
Metropolitan,Preston Road,0.05,-0.295263106,51.57203555,-3.9
Metropolitan,Chesham,0.05,-0.611223045,51.7050349,
Central,Hainault,0.04,0.093123804,51.60372636,5.2
Central,Ealing Broadway,0.04,-0.301503836,51.5149171,-5.1
Central,West Ruislip,0.04,-0.437891094,51.56952463,-5.9
Circle,Goldhawk Road,0.04,-0.226746101,51.50194976,6
Circle,Latimer Road,0.04,-0.217778582,51.51353996,6
District,Hammersmith,0.04,-0.22239962,51.4925678,-4.6
District,East Ham,0.04,0.051472969,51.53892328,-5.3
District,Hornchurch,0.04,0.219025286,51.5540029,-5.8
Docklands Light Railway,Custom House,0.04,0.027685779,51.50954408,-3.6
Docklands Light Railway,Crossharbour & London Arena,0.04,-0.014607516,51.49569957,-6.6
Docklands Light Railway,Heron Quays,0.04,-0.021751132,51.50306839,
Docklands Light Railway,Blackwall,0.04,-0.007103063,51.50821598,
Docklands Light Railway,Canning Town,0.04,0.008174479,51.51383659,
Docklands Light Railway,Lewisham,0.04,-0.014713338,51.46607042,
Docklands Light Railway,Stratford,0.04,-0.003191699,51.54130536,
Docklands Light Railway,South Quay,0.04,-0.019094564,51.50053258,
Docklands Light Railway,West India Quay,0.04,-0.020141079,51.50663828,
Docklands Light Railway,Poplar,0.04,-0.017222143,51.50748823,
Jubilee,Stratford,0.04,-0.003191699,51.54130536,0
Circle,Wood Lane,0.03,-0.224199988,51.5098,6.4
Circle,Shepherd's Bush Market,0.03,-0.226303429,51.50555802,5.9
District,Stamford Brook,0.03,-0.245449116,51.49479432,6.4
District,Ravenscourt Park,0.03,-0.236254709,51.49413485,6
District,Turnham Green,0.03,-0.254527269,51.49510964,5.9
District,Barking,0.03,0.080857192,51.53944886,-2.6
District,Dagenham East,0.03,0.165873291,51.54411494,-3.6
District,Dagenham Heathway,0.03,0.147684816,51.54162562,-4.8
District,Becontree,0.03,0.127403337,51.54028657,-4.9
